name,final_adoption
0_12_7_3_3,0.08924889842189765
0_12_8_0_0,0.9833416111613408
0_12_8_0_1,0.7999999977307298
0_12_8_0_2,0.8666666607241469
0_12_8_0_3,0.9624584430478258
0_12_8_1_0,0.8788249757473097
0_12_8_1_1,0.8190409700281014
0_12_8_1_2,0.8527230887360595
0_12_8_1_3,0.8081433757848998
0_12_8_2_0,0.8392599361137886
0_12_8_2_1,0.8472271440228867
0_12_8_2_2,0.8767007538336529
0_12_8_2_3,0.893853022819523
0_12_8_3_0,0.7848436043897759
0_12_8_3_1,0.840791756485962
0_12_8_3_2,0.8312520548121537
0_12_8_3_3,0.8755458068682788
0_12_9_0_0,0.9921249671409491
0_12_9_0_1,0.7999999993507059
0_12_9_0_2,0.8666666640362719
0_12_9_0_3,0.977751486934509
0_12_9_1_0,0.8992219483672594
0_12_9_1_1,0.9320998537218632
0_12_9_1_2,0.8921288322996338
0_12_9_1_3,0.8660521831336279
0_12_9_2_0,0.9027443544725161
0_12_9_2_1,0.9159045808229154
0_12_9_2_2,0.92334612732237
0_12_9_2_3,0.9200535132859479
0_12_9_3_0,0.9107167341990489
0_12_9_3_1,0.9043069659422227
0_12_9_3_2,0.904214413282363
0_12_9_3_3,0.9226129832492371
0_13_0_0_0,0.00013572399523884777
0_13_0_0_1,5.884143447831132e-15
0_13_0_0_2,0.0005624547536594252
0_13_0_0_3,1.5474942385427112e-22
0_13_0_1_0,1.2513382514695892e-16
0_13_0_1_1,9.536443026231517e-16
0_13_0_1_2,4.469098604334846e-16
0_13_0_1_3,1.3927033400113e-13
0_13_0_2_0,5.014061614518948e-16
0_13_0_2_1,2.511651034023383e-16
0_13_0_2_2,5.881368509127941e-16
0_13_0_2_3,1.6316933249400897e-14
0_13_0_3_0,3.99241439929944e-14
0_13_0_3_1,5.512677849065433e-13
0_13_0_3_2,3.079155821801679e-14
0_13_0_3_3,1.5924495551719168e-13
0_13_10_0_0,0.9999999943495816
0_13_10_0_1,0.9021773208950276
0_13_10_0_2,0.9903852417925059
0_13_10_0_3,0.9785674662016027
0_13_10_1_0,0.9606614941094432
0_13_10_1_1,0.9486411998920886
0_13_10_1_2,0.9256955618354566
0_13_10_1_3,0.9346389735036749
0_13_10_2_0,0.9491717479965798
0_13_10_2_1,0.9236964237506344
0_13_10_2_2,0.945825933852453
0_13_10_2_3,0.9467863332156733
